word	tag_length	pattern	pattern_count
onirocritie	80	b-text-i-b-text-i-text	30
coulis	79	b-text-i-i-text	39
garde-vaisselle	79	b-text-i-text-i-text-i-i-text	34
saigner	79	i-text-b-text-i-text	20
officiant	78	b-text-i-text-i-i-text	52
recuit	78	b-text-i-text-i-b-text-i-text	36
tilleu-r	78	text-b-text-i-text-b-text-i-text-i-b-text-b-text	1
verglacé	78	b-text-b-text-i-i-text	14
déca	77	b-text	26
désenrhumer	77	b-text-i-text-i-i-text	52
garde-magasin	77	b-text-i-text-i-text-i-i-text	34
unisexué	77	b-text-b-text-i-b-text-b-text-i-text	9
graini-er	75	b-i-b-text-i-text-b-text-i-text	1
ressuscitation	75	b-text-i-text-i-b-text-i-text	36
scarlatine	75	b-text-i-text-i-i-text	52
versé	75	b-text-b-text-i-i-text	14
attrape-parterre	74	b-text-i-text-i-text-i-i-text	34
celui-ci	74	b-text-b-text-i-text-b-text-b-text-i-text	2
personnée	74	b-text-i-text-i-i-text	52
pétaud	74	b-text-i-i-text	39
bain-marie	73	b-text-i-i-text	39
chasse-chien	73	b-text-i-text-i-text-i-i-text	34
manioc	73	b-text-b-text-i-b-text-i-text	12
teter	73	b-text-i-b-text-i-text	30
content	72	b-text-i-i-text	39
courée	72	b-text-i-text-i-b-text-i-text	36
craché	72	b-text-b-text-i-i-i-text	1
exsangue	72	b-text-b-text-b-text-i-text	5
guide-main	72	b-text-i-text-i-text-i-i-text	34
peste!	72	b-i-text	37
chartron	71	b-text-i-i-text	39
gras-fondu	71	b-text-i-text-i-b-text-i-text	36
refrognement	71	text-b-i-b-text-i-text	12
houspiller	70	text-i-text-b-text-i-text	2
trucheman	70	b-text-i-b-text-i-text	30
eux	69	b-text-i-i-text	39
quiconque	69	b-text	26
réal	69	b-text-i-text-i-b-text-i-text	36
vicairie	68	b-text-i-text-i-b-text-i-text	36
appariement	67	b-text-i-b-text-i-text	30
bief	67	b-text-i-b-text-i-text	30
musi-f	67	b-i-b-text-b-text-i-text	7
tiller	67	text-b-i-b-text-i-text	12
becqueter	66	i-b-i-b-text-i-text	1
dîné	66	b-text-i-b-text-i-text	30
garde-chiourme	66	b-text-i-text-i-text-i-i-text	34
garde-meuble	66	b-text-i-text-i-text-i-i-text	34
sacramentalement	66	b-text-i-b-text-i-text	30
accorde!	65	b-i-text	37
asclépiade	65	b-text-i-text-i-b-text-i-text	36
cache-peigne	65	text-b-text-i-text-i-text-i-i-text	3
confortant	65	b-text-b-text-i-b-text-b-text-i-text	9
garde-boutique	65	b-text-i-text-i-text-i-i-text	34
prusse	65	b-text-i-i-text	39
recruteur	65	b-text-i-text-i-i-text	52
sororal	65	b-text-b-text-i-b-text-b-text-i-text	9
archipompe	64	b-text-i-b-text-i-text	30
fichtre!	64	b-i-text	37
époullin	63	b-text-b-text-i-b-text-i-text	12
gratte-papier	63	b-text-i-text-i-text-i-i-text	34
inconstant	63	b-text-b-text-i-i-text	14
papilionacé	63	b-text-b-text-b-text-b-text-i-text	2
repris de justice	63	b-text-i-text-i-i-text	52
garde-malade	62	b-text-i-text-i-text-i-i-text	34
mouchard	62	b-text-i-text-i-b-text-i-text	36
refrogner	62	i-b-text-i-b-text-i-text	1
tentat-eur	62	b-text-i-text-i-text-b-text-i-text	2
tesson	62	b-text-i-b-text-i-text	30
bandière	61	b-text-i-i-text	39
belvéder	61	b-text-i-b-text-i-text	30
bohème	61	b-text-i-text-b-text-i-text-b-text-i-text	3
larmières	61	b-text-i-text-i-b-text-i-text	36
renfler	61	b-text-i-text-i-b-text-i-text	36
tillage	61	text-b-i-b-text-i-text	12
agnus	60	b-text-i-b-text-i-text	30
branche-ursine	60	b-text-i-b-text-i-text	30
crépitation	60	b-text-i-text-i-b-text-i-text	36
épargner	60	i-text-b-text-i-text	20
lithargé	60	b-text-b-text-i-b-text-b-text-i-text	9
présumé	60	b-text-i-i-text	39
rouvieux	60	b-i-b-text-i-text-i-i-text	2
serrette	60	b-text-i-b-text-i-text	30
bécabunga	59	b-text-i-b-text-i-text	30
dévoyé	59	b-text-i-i-text	39
émerisé	59	b-text-b-text-i-i-text	14
pellée	59	b-text-b-text-b-text-i-text	5
perce-mousse	59	b-text-i-text-i-b-text-i-text	36
rousseau	59	b-text-i-text-i-i-text	52
veillote	59	text-b-i-b-text-i-text	12
vinetier	59	b-text-i-b-text-i-text	30
casse-cou	58	b-text-i-text-i-text-i-i-text	34
garde-pêche	58	b-text-i-text-i-text-i-i-text	34
réflecteur	58	b-text-i-text-i-i-text	52
salicor	58	b-text-i-text-i-b-text-i-text	36
tourang-eau	58	b-text-b-text-i-i-text	14
attrape-lourdaud	57	b-text-i-text-i-text-i-i-text	34
garde-feu	57	b-text-i-text-i-text-i-i-text	34
garde-marteau	57	b-text-i-text-i-text-i-i-text	34
guinde	57	b-text-i-text-b-text-b-text-i-text	1
?	57	text-i-text	3
pelu	57	b-text-b-text-i-text-b-text	2
toutenague	57	b-text-i-b-text-i-text	30
hisser	56	i-text-b-text-i-text	20
hyperborée	56	b-i-b-text-b-text-i-text	7
répartiteur	56	b-text-i-text-i-i-text	52
songeur	56	b-text-i-text-i-i-text	52
surge	56	b-text-i-i-text	39
vasculaire	56	b-i-text-b-text-b-text-i-text	1
chasse-poignée	55	text-b-text-i-text-i-text-i-i-text	3
hola!	55	text-b-i-text	12
lenticulaire	55	b-i-b-text-b-text-i-text	7
chasse-coquins	54	b-text-i-text-i-text-i-i-text	34
chevaucher	54	b-text-i-i-text	39
érucage	53	b-text-b-text-i-b-text-i-text	12
gano	53	b-text	26
guide-chaîne	53	b-text-i-text-i-text-i-i-text	34
hymen	53	b-text-i-b-text-i-text	30
préjudiciaux	53	b-text-i-i-text	39
tamisaille	53	text-b-i-b-text-i-text	12
tarare!	53	b-i-text	37
tortille	53	text-b-i-b-text-i-text	12
cathédrale	52	b-text-i-text-i-i-text	52
corbleu!	52	b-i-text	37
délégant	52	b-i-b-text-i-text-b-text-b-text-i-text	1
grillet	52	text-b-text-i-text-i-text-b-text-i-text	1
grippe-sou	52	b-text-i-text-i-text-i-i-text	34
prétexte	52	b-text-i-text-i-i-text	52
cache-entrée	51	b-text-i-text-i-text-i-i-text	34
chasse-roue	51	b-text-i-text-i-text-i-i-text	34
décuvage	51	b-text-i-text-i-b-text-i-text	36
déshabiller	51	i-text-b-text-i-text	20
garde-vente	51	b-text-i-text-i-text-i-i-text	34
liliacée	51	b-text-i-text-i-i-text	52
malvacée	51	b-text-i-text-i-i-text	52
saint-simonien	51	b-text-i-b-text-i-text	30
senegrain	51	b-text-b-text-i-b-text-i-text	12
titane	51	b-text-i-text-i-b-text-i-text	36
